"filename", "language", "PostCSS", "JavaScript", "JSON", "Markdown", "XML", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Home\Home.js", "JavaScript", 0, 276, 0, 0, 0, 0, 0, 2, 42, 320
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\MotorDetail\MotorDetail.css", "PostCSS", 253, 0, 0, 0, 0, 0, 0, 0, 40, 293
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\MotorDetail\MotorDetail.js", "JavaScript", 0, 326, 0, 0, 0, 0, 0, 1, 58, 385
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Owner\AddBike\Addbike.css", "PostCSS", 159, 0, 0, 0, 0, 0, 0, 2, 26, 187
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Owner\AddBike\Addbike.js", "JavaScript", 0, 257, 0, 0, 0, 0, 0, 0, 46, 303
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Owner\BikeDetail\BikeDetail.css", "PostCSS", 49, 0, 0, 0, 0, 0, 0, 0, 9, 58
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Owner\BikeDetail\BikeDetail.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 13, 62
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Owner\RegisterPage\RegisterPage.css", "PostCSS", 93, 0, 0, 0, 0, 0, 0, 1, 19, 113
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Owner\RegisterPage\RegisterPage.js", "JavaScript", 0, 233, 0, 0, 0, 0, 0, 1, 49, 283
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Owner\Register\Register.css", "PostCSS", 56, 0, 0, 0, 0, 0, 0, 0, 6, 62
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Owner\Register\Register.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\RentalForm\RentalForm.css", "PostCSS", 105, 0, 0, 0, 0, 0, 0, 2, 20, 127
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\RentalForm\RentalForm.js", "JavaScript", 0, 115, 0, 0, 0, 0, 0, 15, 19, 149
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\UserLayout.css", "PostCSS", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\UserLayout.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 14, 77
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 35710, 6399, 18576, 38, 35, 20, 2, 528, 12445, 73753
